Company Name,Stage,Sector,Website,LinkedIn,Approx Employees,Known For,Visa Sponsorship Likely
Kitopi,Series C,FoodTech/Cloud Kitchen,kitopi.com,kitopi,1000+,Cloud kitchen platform,Yes - large company
Bayt,Mid-size,HR Tech/Recruitment,bayt.com,bayt,500-1000,Job portal MENA,Yes - established
YallaCompare,Series A,FinTech/Insurance,yallacompare.com,yallacompare,50-200,Insurance comparison,Possibly
Policybazaar UAE,Series C,InsurTech,policybazaar.ae,policybazaar-uae,200-500,Insurance marketplace,Yes
Mumzworld,Series B,E-commerce,mumzworld.com,mumzworld,100-500,Mom & baby products,Check
Namshi,Acquired,E-commerce,namshi.com,namshi,200-500,Fashion e-commerce (Rocket Internet),Check
Cynoteck,Mid-size,IT Services,cynoteck.com,cynoteck,200-500,Software development,Yes
Bridg,Series A,MarTech,bridg.ae,bridg,50-200,Marketing automation,Possibly
Crowd Analyzer,Series A,AI/Analytics,crowdanalyzer.com,crowdanalyzer,50-200,Social listening AI,Possibly
Tribal,Series A,MarTech,tribal,trailofbits,10-50,Influencer marketing,Check
Cloudify,Series B,Cloud/DevOps,cloudify.co,cloudify,50-200,Cloud orchestration,Yes - global
Debut,Series A,HR Tech,debut.com,debut,50-200,Career page platform,Possibly
URE,Series A,PropTech,ure,ure,10-50,Real estate tech,Check
Shorooq,Series A,FinTech,shorooq.com,shorooq,50-200,Islamic fintech,Possibly
YAP,Series A,FinTech,yap,raknpayment,50-200,Digital banking,Check
Fetchr,Series B,Logistics,fetchr.us,fetchr,200-500,Delivery app,Check
AWOK,Series A,E-commerce,awok.com,awok,200-500,Daily deals,Check
Nana,Series C,Grocery Tech,nana.direct,nana,500-1000,Grocery delivery,Yes
InstaShop,Series B,Grocery Tech,instashop.ae,instashop,200-500,Grocery delivery (Delivery Hero),Check
Carriage,Series B,Logistics,carriage,carriage,100-500,Last mile delivery,Check
Truffls,Seed,HR Tech,truffls.com,truffls,10-50,Job matching app,Check
Riyad Capital,Public,FinTech,riyadcapital.com,riyad-capital,500+,Investment platform,Yes - listed
Mawdoo3,Series B,AI/Content,mawdoo3.com,mawdoo3,50-200,Arabic AI content,Check
Vezeeta,Series C,HealthTech,vezeeta.com,vezeeta,200-500,Healthcare booking,Yes
Meddy,Series A,HealthTech,meddy.com,meddy,50-200,Doctor booking UAE,Possibly
Dawaai,Series B,HealthTech,dawaai.com,dawaai,50-200,Pharmacy delivery,Check
UAE Exchange,Public,FinTech,uaeexchange.com,uae-exchange,500+,Remittance,Yes
Almadar,Series A,Telecom,almadar.ly,almadar,200-500,Libyan telecom,No - regional
Talabat,Series B,FoodTech,talabat.com,talabat,500-1000,Food delivery (Delivery Hero),Check
Deliveroo,Public,FoodTech,deliveroo.ae,deliveroo-uae,500+,Food delivery,Check
Careem,Acquired,Transport,careem.com,careem,1000+,(Acquired by Uber),Yes
